Data totals as of 2019-10-23: 

+-------------+---------+
| file format | total   |
+-------------+---------+
| Removed     |      21 |  (versions removed for legal reasons)
| docx        |     937 |  (for a brief period arXiv accepted docx)
| html        |    1580 |  (typically conference indexes, though some full text)
| ps          |    5746 |
| withdrawn   |   10189 |  (where the top-level version is withdrawn)
| pdf         |  164859 |
| pdftex      |  678193 |  (these should be counted together, as they...)
| tex         | 1629254 |  (...are both tex formats)
+-------------+---------+

File formats across subject areas 
(single-word categories contain a period in their name only for ease of providing data)
(NULL values in format column represent removed top-level versions)

+--------------------+-----------+------------+
| category           | format    | paper count|
| funct-an.          | tex       |        566 |
| gr-qc.             | NULL      |          3 |
| gr-qc.             | docx      |          8 |
| gr-qc.             | html      |         75 |
| gr-qc.             | pdf       |       1940 |
| gr-qc.             | pdftex    |      29240 |
| gr-qc.             | ps        |        157 |
| gr-qc.             | tex       |     108661 |
| gr-qc.             | withdrawn |        346 |
| hep-ex.            | NULL      |          2 |
| hep-ex.            | docx      |         19 |
| hep-ex.            | html      |         25 |
| hep-ex.            | pdf       |       1482 |
| hep-ex.            | pdftex    |      24129 |
| hep-ex.            | ps        |        151 |
| hep-ex.            | tex       |      39056 |
| hep-ex.            | withdrawn |         67 |
| hep-lat.           | html      |         11 |
| hep-lat.           | pdf       |         61 |
| hep-lat.           | pdftex    |       8086 |
| hep-lat.           | ps        |        435 |
| hep-lat.           | tex       |      26096 |
| hep-lat.           | withdrawn |         14 |
| hep-ph.            | docx      |         19 |
| hep-ph.            | html      |         49 |
| hep-ph.            | pdf       |       1503 |
| hep-ph.            | pdftex    |      54297 |
| hep-ph.            | ps        |        554 |
| hep-ph.            | tex       |     186950 |
| hep-ph.            | withdrawn |        233 |
| hep-th.            | NULL      |          2 |
| hep-th.            | docx      |          9 |
| hep-th.            | html      |         30 |
| hep-th.            | pdf       |        919 |
| hep-th.            | pdftex    |      44091 |
| hep-th.            | ps        |        235 |
| hep-th.            | tex       |     197314 |
| hep-th.            | withdrawn |        239 |
| math.AC            | NULL      |          1 |
| math.AC            | html      |          1 |
| math.AC            | pdf       |         65 |
| math.AC            | pdftex    |       1184 |
| math.AC            | tex       |      14501 |
| math.AC            | withdrawn |        119 |
| math.AG            | html      |          1 |
| math.AG            | pdf       |         84 |
| math.AG            | pdftex    |       6945 |
| math.AG            | ps        |         17 |
| math.AG            | tex       |      63272 |
| math.AG            | withdrawn |        388 |
| math.AP            | html      |          1 |
| math.AP            | pdf       |        231 |
| math.AP            | pdftex    |       9942 |
| math.AP            | ps        |          8 |
| math.AP            | tex       |      49311 |
| math.AP            | withdrawn |        417 |
| math.AT            | pdf       |         46 |
| math.AT            | pdftex    |       3196 |
| math.AT            | ps        |         12 |
| math.AT            | tex       |      16948 |
| math.AT            | withdrawn |        129 |
| math.CA            | NULL      |          1 |
| math.CA            | docx      |          1 |
| math.CA            | pdf       |        375 |
| math.CA            | pdftex    |       3227 |
| math.CA            | ps        |         19 |
| math.CA            | tex       |      21516 |
| math.CA            | withdrawn |        166 |
| math.CO            | docx      |          5 |
| math.CO            | html      |         12 |
| math.CO            | pdf       |        587 |
| math.CO            | pdftex    |      14958 |
| math.CO            | ps        |         52 |
| math.CO            | tex       |      55779 |
| math.CO            | withdrawn |        458 |
| math.CT            | html      |          1 |
| math.CT            | pdf       |         43 |
| math.CT            | pdftex    |       1166 |
| math.CT            | ps        |          8 |
| math.CT            | tex       |       8736 |
| math.CT            | withdrawn |         48 |
| math.CV            | pdf       |         70 |
| math.CV            | pdftex    |       2173 |
| math.CV            | ps        |          9 |
| math.CV            | tex       |      17413 |
| math.CV            | withdrawn |        126 |
| math.DG            | pdf       |        270 |
| math.DG            | pdftex    |       6259 |
| math.DG            | ps        |         15 |
| math.DG            | tex       |      45994 |
| math.DG            | withdrawn |        366 |
| math.DS            | docx      |          3 |
| math.DS            | pdf       |        518 |
| math.DS            | pdftex    |      10068 |
| math.DS            | ps        |         17 |
| math.DS            | tex       |      28220 |
| math.DS            | withdrawn |        279 |
| math.FA            | html      |          2 |
| math.FA            | pdf       |        128 |
| math.FA            | pdftex    |       2610 |
| math.FA            | ps        |          6 |
| math.FA            | tex       |      29936 |
| math.FA            | withdrawn |        283 |
| math.GM            | docx      |          3 |
| math.GM            | html      |         14 |
| math.GM            | pdf       |       1231 |
| math.GM            | pdftex    |        434 |
| math.GM            | ps        |         19 |
| math.GM            | tex       |       3498 |
| math.GM            | withdrawn |        121 |
| math.GN            | html      |          2 |
| math.GN            | pdf       |         29 |
| math.GN            | pdftex    |        533 |
| math.GN            | tex       |       5115 |
| math.GN            | withdrawn |         51 |
| math.GR            | pdf       |         60 |
| math.GR            | pdftex    |       3275 |
